condition,frontend,feature,clinical,n,rho,p,q_global
rest,alpha_global,tree_ascending_fraction,pigd_score,113,-0.10826362639951795,0.253694889240493,0.9738635887581278
rest,alpha_global,tree_ascending_fraction,td_score,113,0.016088684944016315,0.8656908998253142,0.9930135882425856
rest,alpha_global,tree_ascending_fraction,ctt,109,-0.18381273376459653,0.05571318350550276,0.9534301174509907
rest,alpha_global,occ_L4,updrs_part_iii,113,-0.0021663755125857277,0.9818314555856256,0.9992686269414356
rest,alpha_global,occ_L4,updrs_total,113,-0.06122016177487082,0.5194794280642933,0.9930135882425856
rest,alpha_global,occ_L4,moca,113,-0.017233240827780074,0.8562353503976627,0.9930135882425856
rest,alpha_global,occ_L4,disease_duration,116,0.017408090850890352,0.8528569114903493,0.9930135882425856
rest,alpha_global,occ_L4,ledd,115,-0.03562457713182403,0.7054472165277604,0.9930135882425856
rest,alpha_global,occ_L4,pigd_score,113,-0.051394003099202626,0.5887772421986681,0.9930135882425856
rest,alpha_global,occ_L4,td_score,113,-0.038417858499933934,0.6862157179220348,0.9930135882425856
rest,alpha_global,occ_L4,ctt,109,-0.04010409072118622,0.6788458964647672,0.9930135882425856
rest,alpha_global,occ_L5,updrs_part_iii,113,-0.01877395229013362,0.8435393439182897,0.9930135882425856
rest,alpha_global,occ_L5,updrs_total,113,-0.02303354667239386,0.8086564350374797,0.9930135882425856
rest,alpha_global,occ_L5,moca,113,-0.0059138605981892255,0.9504300316141318,0.9971683422099584
rest,alpha_global,occ_L5,disease_duration,116,0.03224510433191396,0.731133027056268,0.9930135882425856
rest,alpha_global,occ_L5,ledd,115,-0.03863523623278293,0.6818472143206766,0.9930135882425856
rest,alpha_global,occ_L5,pigd_score,113,0.05866772395421646,0.5370735691752125,0.9930135882425856
rest,alpha_global,occ_L5,td_score,113,-0.02976842845358782,0.7542854511057311,0.9930135882425856
rest,alpha_global,occ_L5,ctt,109,-0.06261702387515539,0.5177359959210518,0.9930135882425856
rest,alpha_global,occ_L6,updrs_part_iii,113,0.015435135577854663,0.8710986918810562,0.9930135882425856
rest,alpha_global,occ_L6,updrs_total,113,0.0005508173487273205,0.9953801418591678,0.9992686269414356
rest,alpha_global,occ_L6,moca,113,-0.04704328529921819,0.6207477398493164,0.9930135882425856
rest,alpha_global,occ_L6,disease_duration,116,-0.07355516506743098,0.43263081457907676,0.9930135882425856
rest,alpha_global,occ_L6,ledd,115,-0.0054164447041063525,0.9541861155018155,0.9971683422099584
rest,alpha_global,occ_L6,pigd_score,113,-0.03781924602059852,0.6908539436938373,0.9930135882425856
rest,alpha_global,occ_L6,td_score,113,0.010099814163314765,0.9154463069488562,0.9958760007869497
rest,alpha_global,occ_L6,ctt,109,-0.10915664456464792,0.2585309440273901,0.9738635887581278
rest,alpha_global,occ_L7,updrs_part_iii,113,-0.01977640323608687,0.8353000651912184,0.9930135882425856
rest,alpha_global,occ_L7,updrs_total,113,0.0139659706759966,0.8832766429752184,0.9958760007869497
rest,alpha_global,occ_L7,moca,113,-0.008849908281171145,0.9258784310865663,0.9971683422099584
rest,alpha_global,occ_L7,disease_duration,116,0.05905005157467476,0.528923102371425,0.9930135882425856
rest,alpha_global,occ_L7,ledd,115,0.028073381820569968,0.765837963901307,0.9930135882425856
rest,alpha_global,occ_L7,pigd_score,113,-0.00035388530502392546,0.9970318560177414,0.9992686269414356
rest,alpha_global,occ_L7,td_score,113,0.035618244022514366,0.7080054379399934,0.9930135882425856
rest,alpha_global,occ_L7,ctt,109,0.03607372861979173,0.7095950322130125,0.9930135882425856
rest,alpha_global,occ_L8,updrs_part_iii,113,-0.1693528260241992,0.07294011818289804,0.9534301174509907
rest,alpha_global,occ_L8,updrs_total,113,-0.13670787540484136,0.14877978853263865,0.9534301174509907
rest,alpha_global,occ_L8,moca,113,-0.010310164328224444,0.913692017998099,0.9958760007869497
rest,alpha_global,occ_L8,disease_duration,116,-0.158910966701215,0.08841229754713367,0.9534301174509907
rest,alpha_global,occ_L8,ledd,115,-0.08374873678156688,0.37354182835376254,0.9930135882425856
rest,alpha_global,occ_L8,pigd_score,113,-0.1809354031901686,0.05513064738949031,0.9534301174509907
rest,alpha_global,occ_L8,td_score,113,-0.09034940088388647,0.3412507523175289,0.9930135882425856
rest,alpha_global,occ_L8,ctt,109,-0.04589867755550941,0.6355558330297384,0.9930135882425856
