modality,condition,feature,n,mean_change,t,p,paired_dz,q_fdr
gait,early_gradual,tree_span_time,30,-0.027747637232182085,-0.9472148942595526,0.35135592645628805,-0.1729369881302759,0.5110631657546009
gait,early_gradual,tree_root_fraction,30,0.006944444444444444,0.7397092748646286,0.4654227307150612,0.13505181861304874,0.6232719179114975
gait,early_gradual,tree_ascending_fraction,30,-0.04519292301900997,-2.0360343381309804,0.05097207187910298,-0.3717273116164796,0.12442402393113568
gait,early_gradual,occ_L1,30,0.0,,,,
gait,early_gradual,occ_L2,30,-0.011111111111111112,-2.504050772302804,0.018154560394252117,-0.45717503104282614,0.056220574124135586
gait,early_gradual,occ_L3,30,-0.027777777777777773,-2.7625312572654117,0.009852802507531433,-0.5043668951391245,0.03637957848934682
gait,early_gradual,occ_L4,30,-0.029166666666666667,-2.2759239641613656,0.030417666523554113,-0.4155249647792531,0.07892151314219445
gait,early_gradual,occ_L5,30,-0.019444444444444445,-1.6282258452024017,0.11429429746020739,-0.29727200804342335,0.23345218204638107
gait,early_gradual,occ_L6,30,-0.006944444444444446,-0.7570485649179114,0.45512802595141877,-0.13821752537748472,0.6232719179114975
gait,early_gradual,occ_L7,30,0.0041666666666666675,0.27072868066409156,0.7885173293497728,0.049428068454445216,0.8604372426030094
gait,early_gradual,occ_L8,30,0.03611111111111111,1.9753658050331502,0.057812618161605024,0.3606508035803362,0.13536613032961176
gait,early_gradual,occ_L9,30,0.009722222222222224,0.3991078493840646,0.692737665141083,0.07286679066167548,0.8312851981692997
gait,early_gradual,occ_L10,30,-0.005555555555555551,-0.2704440326191705,0.7887341390527586,-0.049376099069394205,0.8604372426030094
gait,early_gradual,occ_L11,30,-0.009722222222222222,-0.7363147975656055,0.46745393843362315,-0.13443207468384402,0.6232719179114975
gait,early_gradual,occ_L12,30,0.0,,,,
gait,late_gradual,mean_H,30,0.09999999999999988,1.5370219116132253,0.1351282522170921,0.2806205241234251,0.2642802204671921
gait,late_gradual,sd_H,30,-0.19893030322355168,-2.817942241953175,0.008614324644781773,-0.5144835105548117,0.033079006635962006
gait,late_gradual,mean_D,30,-0.09166666666666665,-4.002852863924466,0.0003969764300549259,-0.7308176026485291,0.0034645215713884443
gait,late_gradual,sd_D,30,-0.2703410293641705,-4.497060477060874,0.00010236302274340022,-0.8210471552503947,0.0013807145016464086
gait,late_gradual,mean_lambda,30,0.1916666666666667,2.363614080643059,0.02501305888512904,0.43153491640167946,0.07062510744036435
gait,late_gradual,sd_lambda,30,-0.4101470245645202,-3.797289312071755,0.0006916910255904019,-0.6932870045316581,0.005107872188975276
gait,late_gradual,multilevel,30,-0.04027777777777778,-3.3846141528736746,0.0020614605376697384,-0.6179431733267169,0.010588474769552063
gait,late_gradual,pivot_rate,30,-0.013888888888888888,-1.108518632825824,0.2767469255899449,-0.20238688687116352,0.41047292271598357
gait,late_gradual,compound_pivot_fraction,30,-0.013082010582010584,-0.21320024642411123,0.8326624992443423,-0.038924861410715286,0.8966216718234236
