frontend,condition,change,feature,n,rho,p,q_global
theta_global,early_gradual,False,multilevel,30,0.0878740672345368,0.6442608535657528,0.989854645308112
theta_global,early_gradual,False,pivot_rate,30,-0.08641071623946699,0.649806511327634,0.989854645308112
theta_global,early_gradual,False,compound_pivot_fraction,30,-0.0796635800915824,0.6756100938302407,0.989854645308112
theta_global,early_gradual,False,pivot_depth,30,-0.1392680128046113,0.46296209312417475,0.9894404911404886
theta_global,early_gradual,False,tree_span_events,30,-0.03963924060366895,0.8352531131369155,0.989854645308112
theta_global,early_gradual,False,tree_span_time,30,-0.11857619577308119,0.5325753200749617,0.989854645308112
theta_global,early_gradual,False,tree_root_fraction,30,-0.12658873013631095,0.5050386090176584,0.989854645308112
theta_global,early_gradual,False,tree_ascending_fraction,30,-0.21746422726162323,0.24834895379452743,0.9894404911404886
theta_global,early_gradual,False,occ_L2,30,-0.049629166698546515,0.7945243850399184,0.989854645308112
theta_global,early_gradual,False,occ_L3,30,-0.18231392314274825,0.3349169067266376,0.9894404911404886
theta_global,early_gradual,False,occ_L4,30,0.155340233628856,0.4124022886909402,0.9894404911404886
theta_global,early_gradual,False,occ_L5,30,-0.1773386389157806,0.34849593457215655,0.9894404911404886
theta_global,early_gradual,False,occ_L6,30,-0.1034885421529223,0.5862973734074995,0.989854645308112
theta_global,early_gradual,False,occ_L7,30,0.5034706177621738,0.004565123843982333,0.6630842383384339
theta_global,early_gradual,False,occ_L8,30,0.3150083306392093,0.08997428748255241,0.9894404911404886
theta_global,early_gradual,False,occ_L9,30,-0.19697031559214567,0.2968217407327421,0.9894404911404886
theta_global,early_gradual,False,occ_L10,30,-0.07526121162241857,0.6926450653456612,0.989854645308112
theta_global,early_gradual,False,occ_L11,30,0.0886232159105309,0.6414290100107736,0.989854645308112
theta_global,late_gradual,False,mean_H,30,-0.11441057821604664,0.5471692950536141,0.989854645308112
theta_global,late_gradual,False,sd_H,30,-0.07122190073447587,0.7084057560978994,0.989854645308112
theta_global,late_gradual,False,mean_D,30,0.09888344821943362,0.6031539670786691,0.989854645308112
theta_global,late_gradual,False,sd_D,30,0.09288605270778273,0.6254098332263177,0.989854645308112
theta_global,late_gradual,False,mean_lambda,30,-0.13376664564255786,0.48098774387107857,0.9894404911404886
theta_global,late_gradual,False,sd_lambda,30,-0.13708690415343897,0.47006571992076157,0.9894404911404886
theta_global,late_gradual,False,multilevel,30,0.11103762674648844,0.559121525303959,0.989854645308112
theta_global,late_gradual,False,pivot_rate,30,-0.22555942580557084,0.23073635089802957,0.9894404911404886
theta_global,late_gradual,False,compound_pivot_fraction,30,-0.040860346772089697,0.8302499910247525,0.989854645308112
theta_global,late_gradual,False,pivot_depth,30,-0.05563610784121851,0.7702796181172038,0.989854645308112
theta_global,late_gradual,False,tree_span_events,30,-0.24137931184782108,0.19878819143598506,0.9894404911404886
theta_global,late_gradual,False,tree_span_time,30,-0.2503059310182336,0.1821778649265574,0.9894404911404886
